respondent number,task number,task text,result,time spent (seconds),path,first click,destination
4,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,43,Entertainment > Games > (empty) > Trending > Trending > Lifestyle > (empty) > Trending > Latest articles,Entertainment,Latest articles
4,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct success,10,Culture > Fashion > New collections,Culture,New collections
4,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,14,Culture > History > Medieval,Culture,Medieval
4,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,28,Science > Health and Medicine > (empty) > Entertainment > (empty) > Culture > (empty) > Trending > Our picks,Science,Our picks
4,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect success,23,Science > Environment > Environment > Nature > Animals,Science,Animals
5,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,31,Lifestyle > (empty) > Society > Health > Health issues,Lifestyle,Health issues
5,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,32,Trending > Popular articles,Trending,Popular articles
5,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,24,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
5,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,33,Culture > Culture > Society > Society > Entertainment > Cinema > Cinemas near you,Culture,Cinemas near you
5,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,22,Lifestyle > Lifestyle > Hobbies > Food > Recipes,Lifestyle,Recipes
5,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,14,Society > Family and Relationships > Parenting,Society,Parenting
5,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,67,Entertainment > Entertainment > Culture > Fashion > Fashion > (empty) > Society > Society > About us > (empty) > Trending > Trending > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
5,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,31,Lifestyle > Lifestyle > Society > Society > Hobbies > Beauty > Clothes,Lifestyle,Clothes
5,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,12,Culture > History > Medieval,Culture,Medieval
5,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,41,Lifestyle > Lifestyle > Society > Society > Science > Technology > Computers and internet,Lifestyle,Computers and internet
5,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect success,35,Science > Environment > Environment > Nature > Animals,Science,Animals
7,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,80,Lifestyle > Fitness > (empty) > Society > Health > Health issues,Lifestyle,Health issues
7,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect failure,88,Entertainment > Entertainment > Entertainment > Literature > Reviews > Reviews < Literature > Nonfiction < Literature < Entertainment > Music > Music < Entertainment > Society > Society > Lifestyle > Lifestyle > About us > About us > Culture > Fashion < Culture > (empty) > Entertainment > TV shows > Top rated,Entertainment,Top rated
7,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,14,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
7,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,69,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
7,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,18,Lifestyle > (empty) > Society > (empty) > Hobbies > Food > Recipes,Lifestyle,Recipes
7,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,41,Trending > (empty) > Lifestyle > Personal development > (empty) > Science > Nature > Animals > (empty) > Culture > (empty) > Trending > (empty) > Society > Family and Relationships > Parenting,Trending,Parenting
7,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,55,Entertainment > Entertainment > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
7,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,40,Society > (empty) > Trending > (empty) > Hobbies > Crafts < Hobbies > (empty) > Lifestyle > (empty) > Lifestyle > Personal development < Lifestyle > (empty) > Hobbies > Crafts > Sewing,Society,Sewing
7,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,38,Culture > History > Medieval,Culture,Medieval
7,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,62,Hobbies > Hobbies > Trending > Trending > Lifestyle > Lifestyle > Science > Science > Trending > (empty) > Hobbies > Crafts < Hobbies > Household > (empty) > Trending > Our picks,Hobbies,Our picks
7,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,10,Society > (empty) > Science > Biology > Zoology,Society,Zoology
9,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,25,Lifestyle > (empty) > Science > Health and Medicine > Research,Lifestyle,Research
9,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,11,Trending > Popular articles,Trending,Popular articles
9,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,20,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
9,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,18,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
9,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,17,Culture > (empty) > Hobbies > Food > Recipes,Culture,Recipes
9,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,11,Society > Family and Relationships > Parenting,Society,Parenting
9,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,46,Entertainment > Games > (empty) > Entertainment > (empty) > Trending > (empty) > Lifestyle > Fitness > (empty) > Trending > Latest articles,Entertainment,Latest articles
9,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,34,Lifestyle > (empty) > Society > (empty) > Culture > Fashion > New collections,Lifestyle,New collections
9,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,17,Culture > History > Medieval,Culture,Medieval
9,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",direct success,17,Science > Technology > Computers and internet,Science,Computers and internet
9,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,85,Hobbies > Outdoors < Hobbies > Garden < Hobbies > Household > Garden > (empty) > Culture > (empty) > Society > (empty) > Lifestyle > (empty) > Entertainment > (empty) > Hobbies > Outdoors < Hobbies > Garden < Hobbies > Household > Outdoors,Hobbies,Outdoors
10,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,15,Science > Health and Medicine > Research,Science,Research
10,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect failure,18,Entertainment > Music < Entertainment > Literature > Reviews,Entertainment,Reviews
10,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,21,Entertainment > TV shows < Entertainment > Films > Genres > Comedy,Entertainment,Comedy
10,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,16,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
10,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,60,Culture > (empty) > Lifestyle > Lifestyle > Hobbies > Food > Recipes,Culture,Recipes
10,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect failure,32,Culture > (empty) > Lifestyle > Personal development < Lifestyle > (empty) > Culture > (empty) > Lifestyle > Personal development > Self-growth,Culture,Self-growth
10,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,27,Entertainment > Entertainment > Trending > (empty) > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
10,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,22,Lifestyle > Personal development < Lifestyle > (empty) > Culture > Fashion > Latest trends,Lifestyle,Latest trends
10,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,29,Society > (empty) > Lifestyle > (empty) > Culture > History > Medieval,Society,Medieval
10,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,39,Entertainment > (empty) > Trending > (empty) > Science > Science > Society > (empty) > Lifestyle > (empty) > Hobbies > (empty) > Trending > Our picks,Entertainment,Our picks
10,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,30,Science > Earth and Space > Geology < Earth and Space < Science > Biology > Zoology,Science,Zoology
11,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,16,Science > Health and Medicine > Research,Science,Research
11,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct failure,33,Society > Politics > International relations,Society,International relations
11,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,16,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
11,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,18,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
11,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,13,Hobbies > Food > Recipes,Hobbies,Recipes
11,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,24,Lifestyle > Personal development > (empty) > Society > Family and Relationships > Parenting,Lifestyle,Parenting
11,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,direct success,26,Hobbies > Sports > Individual sports > Boxing,Hobbies,Boxing
11,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,25,Trending > (empty) > Lifestyle > (empty) > Entertainment > (empty) > Culture > Fashion > New collections,Trending,New collections
11,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,22,Culture > History > Medieval,Culture,Medieval
11,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,27,Lifestyle > (empty) > Hobbies > (empty) > Science > Technology > Computers and internet,Lifestyle,Computers and internet
11,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,25,Science > Environment < Science > Biology > Zoology,Science,Zoology
12,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,28,Trending > Latest articles,Trending,Latest articles
12,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,23,Trending > Popular articles,Trending,Popular articles
12,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,21,Entertainment > Films > Reviews,Entertainment,Reviews
12,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,33,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
12,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,25,Hobbies > Food > Recipes,Hobbies,Recipes
12,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,61,Lifestyle > (empty) > Science > Health and Medicine < Science > (empty) > Culture > (empty) > Society > Family and Relationships > Parenting,Lifestyle,Parenting
12,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,59,Entertainment > Games > (empty) > Lifestyle > (empty) > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
12,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,41,Culture > Fashion > Latest trends,Culture,Latest trends
12,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,39,Culture > History > Medieval,Culture,Medieval
12,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,63,Lifestyle > (empty) > Society > (empty) > Science > Technology > Computers and internet < Technology > Computers and internet,Lifestyle,Computers and internet
12,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,31,Science > Environment < Science > Biology > Zoology,Science,Zoology
13,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,50,Science > Health and Medicine > Treatments,Science,Treatments
13,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect failure,74,Entertainment > (empty) > Trending > Latest articles > (empty) > Trending > Latest articles,Entertainment,Latest articles
13,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,8,Entertainment > Music > Reviews,Entertainment,Reviews
13,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,17,Entertainment > Music > Artists,Entertainment,Artists
13,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,9,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
13,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect failure,43,Lifestyle > (empty) > Culture > Fashion > Accessories,Lifestyle,Accessories
13,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,direct failure,11,Hobbies > Travel > Budget,Hobbies,Budget
13,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,11,Entertainment > Literature > Nonfiction,Entertainment,Nonfiction
13,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct failure,22.184,Entertainment > Music > Artists,Entertainment,Artists
13,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",direct failure,14,Entertainment > Films > Directors,Entertainment,Directors
13,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct failure,13,Entertainment > Literature > Nonfiction,Entertainment,Nonfiction
14,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,67,Lifestyle > Fitness > (empty) > Science > Health and Medicine < Science > (empty) > Culture > (empty) > Science > Health and Medicine > Research,Lifestyle,Research
14,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,18,Trending > Popular articles,Trending,Popular articles
14,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,33,Entertainment > Music < Entertainment > Films > Genres > Comedy,Entertainment,Comedy
14,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,29,Entertainment > Films < Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
14,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,50,Culture > (empty) > Society > (empty) > Lifestyle > (empty) > Culture > Culture > Hobbies > Food > Recipes,Culture,Recipes
14,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,16,Society > Family and Relationships > Parenting,Society,Parenting
14,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,80,Lifestyle > Fitness < Lifestyle > (empty) > Entertainment > Games > Game reviews < Games < Entertainment > (empty) > Hobbies > Sports > Individual sports > Boxing,Lifestyle,Boxing
14,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,40,Society > (empty) > Lifestyle > Lifestyle > Society > (empty) > Hobbies > Beauty > Clothes,Society,Clothes
14,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct failure,22,Culture > History > Ancient,Culture,Ancient
14,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,72,Hobbies > (empty) > Culture > (empty) > Society > (empty) > Lifestyle > Lifestyle > (empty) > Entertainment > (empty) > Hobbies > Household > (empty) > Science > Technology > Computers and internet,Hobbies,Computers and internet
14,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,30,Culture > (empty) > Science > Biology > Zoology < Biology > Biology > Health and Medicine < Science > Biology > Zoology,Culture,Zoology
15,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,29,Lifestyle > Fitness > (empty) > Science > Health and Medicine > Research,Lifestyle,Research
15,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,19,Trending > Popular articles,Trending,Popular articles
15,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct failure,20,Entertainment > Films > Reviews,Entertainment,Reviews
15,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,35,About us > (empty) > Entertainment > Films < Entertainment > Cinema > Cinemas near you,About us,Cinemas near you
15,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,14,Hobbies > Food > Recipes,Hobbies,Recipes
15,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,51,Lifestyle > Personal development > (empty) > Culture > (empty) > Hobbies > Household < Hobbies > (empty) > Society > Family and Relationships > Parenting,Lifestyle,Parenting
15,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,98,Entertainment > (empty) > Society > (empty) > Culture > (empty) > Hobbies > (empty) > Trending > (empty) > Trending > (empty) > Entertainment > Games < Entertainment > (empty) > Culture > (empty) > Society > (empty) > Lifestyle > (empty) > Trending > Our picks,Entertainment,Our picks
15,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,27,Lifestyle > (empty) > Culture > Fashion > New collections,Lifestyle,New collections
15,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,29,Society > (empty) > Culture > History > Medieval,Society,Medieval
15,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,81,Lifestyle > (empty) > Hobbies > (empty) > Entertainment > (empty) > Culture > (empty) > Science > (empty) > About us > (empty) > Science > Technology > Gadgets,Lifestyle,Gadgets
15,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect success,47,Science > Environment < Science > Nature > Animals,Science,Animals
16,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,12,Science > Health and Medicine > Research,Science,Research
16,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,17,Trending > Popular articles,Trending,Popular articles
16,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,17,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
16,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,17,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
16,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,32,Hobbies > Food > Cooking < Food > Regional cuisine < Food > Recipes,Hobbies,Recipes
16,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,27,Lifestyle > Personal development < Lifestyle > (empty) > Society > Family and Relationships > Parenting,Lifestyle,Parenting
16,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,31,Entertainment > (empty) > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
16,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,80,Lifestyle > (empty) > Trending > (empty) > Society > (empty) > Entertainment > (empty) > Lifestyle > Personal development > (empty) > About us > (empty) > Trending > Our picks > (empty) > Entertainment > (empty) > Hobbies > Beauty > Clothes,Lifestyle,Clothes
16,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,24,Hobbies > (empty) > Culture > History > Medieval,Hobbies,Medieval
16,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,115,Lifestyle > (empty) > Entertainment > (empty) > Culture > (empty) > Lifestyle > (empty) > Trending > Our picks > (empty) > Hobbies > Household < Hobbies > (empty) > About us > (empty) > Hobbies > (empty) > Culture > (empty) > Science > Technology > Computers and internet,Lifestyle,Computers and internet
16,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,14,Science > Nature > Animals,Science,Animals
