,variant,respondent,task,taskText,taskOrder,time,interactions,certainty,difficulty,note,success,directSuccess,direct,firstClick,finalClick,pathLength,backclicks,backtracks,backsteps,path,firstClickName,finalClickName
12,TP,4,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,10,120.565,"[""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]",7.0,7.0,,True,True,True,1,1-2-2-6,4,0,0,0,"[[""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-2""], [""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]]",Entertainment,Comedy
13,TP,4,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",2,25.0,"[""1"", ""1-2"", ""1-5"", ""1-5-1""]",7.0,7.0,,True,False,False,1,1-5-1,4,1,1,1,"[[""1""], [""1"", ""1-2""], [""1"", ""1-5""], [""1"", ""1-5"", ""1-5-1""]]",Entertainment,Cinemas near you
14,TP,4,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,1,29.0,"[""6"", ""6-2"", ""3"", ""2"", ""2-2"", ""2-2-3"", ""2-2-4"", ""2-2-3""]",6.0,7.0,,False,False,False,6,2-2-3,8,4,4,4,"[[""6""], [""6"", ""6-2""], [""3""], [""2""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-3""], [""2"", ""2-2"", ""2-2-4""], [""2"", ""2-2"", ""2-2-3""]]",Lifestyle,Recipes
15,TP,4,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,9,12.0,"[""3"", ""5"", ""5-5"", ""5-5-0""]",7.0,7.0,,True,False,False,3,5-5-0,4,1,1,1,"[[""3""], [""5""], [""5"", ""5-5""], [""5"", ""5-5"", ""5-5-0""]]",Culture,Parenting
16,TP,4,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,3,54.0,"[""1"", ""0"", ""0"", ""3"", ""5"", ""6"", ""0"", ""0"", ""1"", ""1-4"", ""2"", ""3"", ""5"", ""6"", ""6-2"", ""0"", ""0-0""]",3.0,6.0,Hard to find any categories with Sport ,False,False,False,1,0-0,17,11,9,11,"[[""1""], [""0""], [], [""3""], [""5""], [""6""], [""0""], [], [""1""], [""1"", ""1-4""], [""2""], [""3""], [""5""], [""6""], [""6"", ""6-2""], [""0""], [""0"", ""0-0""]]",Entertainment,Our picks
17,TP,4,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,8,11.0,"[""3"", ""3-2"", ""3-2-2""]",5.0,7.0,,True,True,True,3,3-2-2,3,0,0,0,"[[""3""], [""3"", ""3-2""], [""3"", ""3-2"", ""3-2-2""]]",Culture,New collections
18,TP,4,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",6,17.0,"[""3"", ""3-4"", ""3-4-1""]",7.0,7.0,,True,True,True,3,3-4-1,3,0,0,0,"[[""3""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-1""]]",Culture,Medieval
19,TP,4,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",5,14.0,"[""6"", ""4"", ""4-4"", ""4-4-2""]",7.0,7.0,,True,False,False,6,4-4-2,4,1,1,1,"[[""6""], [""4""], [""4"", ""4-4""], [""4"", ""4-4"", ""4-4-2""]]",Lifestyle,Computers and internet
20,TP,4,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,7,16.0,"[""4"", ""4-5"", ""4-7"", ""4-7-1""]",6.0,7.0,,True,False,False,4,4-7-1,4,1,1,1,"[[""4""], [""4"", ""4-5""], [""4"", ""4-7""], [""4"", ""4-7"", ""4-7-1""]]",Science,Animals
21,TP,4,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",4,11.0,"[""4"", ""4-0"", ""4-0-2""]",7.0,7.0,,False,False,True,4,4-0-2,3,0,0,0,"[[""4""], [""4"", ""4-0""], [""4"", ""4-0"", ""4-0-2""]]",Science,Research
23,TP,5,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,1,16.0,"[""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]",7.0,7.0,,True,True,True,1,1-2-2-6,4,0,0,0,"[[""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-2""], [""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]]",Entertainment,Comedy
24,TP,5,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",4,17.0,"[""1"", ""1-5"", ""1-5-1""]",7.0,7.0,,True,True,True,1,1-5-1,3,0,0,0,"[[""1""], [""1"", ""1-5""], [""1"", ""1-5"", ""1-5-1""]]",Entertainment,Cinemas near you
25,TP,5,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,6,20.0,"[""2"", ""2-2"", ""2-2-4""]",6.0,6.0,,False,False,True,2,2-2-4,3,0,0,0,"[[""2""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-4""]]",Hobbies,Cooking
26,TP,5,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,10,10.0,"[""5"", ""5-5"", ""5-5-0""]",7.0,7.0,,True,True,True,5,5-5-0,3,0,0,0,"[[""5""], [""5"", ""5-5""], [""5"", ""5-5"", ""5-5-0""]]",Society,Parenting
27,TP,5,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,2,60.0,"[""1"", ""1"", ""5"", ""5"", ""6"", ""6-2"", ""6-2-5"", ""6-2"", ""6"", ""4"", ""4-0"", ""4-0"", ""4"", ""3"", ""3"", ""0"", ""0-1"", ""0-1"", ""0"", ""5"", ""5"", ""6"", ""6-2"", ""6-2-5""]",3.0,3.0,,False,False,False,1,6-2-5,24,10,7,11,"[[""1""], [], [""5""], [], [""6""], [""6"", ""6-2""], [""6"", ""6-2"", ""6-2-5""], [""6""], [], [""4""], [""4"", ""4-0""], [""4""], [], [""3""], [], [""0""], [""0"", ""0-1""], [""0""], [], [""5""], [], [""6""], [""6"", ""6-2""], [""6"", ""6-2"", ""6-2-5""]]",Entertainment,Martial arts
28,TP,5,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,5,18.0,"[""5"", ""5"", ""0"", ""0"", ""3"", ""3-2"", ""3-2-5""]",6.0,5.0,,False,False,False,5,3-2-5,7,2,2,2,"[[""5""], [], [""0""], [], [""3""], [""3"", ""3-2""], [""3"", ""3-2"", ""3-2-5""]]",Society,Latest trends
29,TP,5,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",8,36.0,"[""5"", ""5"", ""5"", ""4"", ""4"", ""6"", ""6"", ""7"", ""7"", ""5"", ""5-3"", ""5-3-4""]",5.0,6.0,,False,False,False,5,5-3-4,12,5,4,5,"[[""5""], [], [""5""], [""4""], [], [""6""], [], [""7""], [], [""5""], [""5"", ""5-3""], [""5"", ""5-3"", ""5-3-4""]]",Society,E-learning
30,TP,5,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",7,10.0,"[""4"", ""4-4"", ""4-4-2""]",6.0,6.0,,True,True,True,4,4-4-2,3,0,0,0,"[[""4""], [""4"", ""4-4""], [""4"", ""4-4"", ""4-4-2""]]",Science,Computers and internet
31,TP,5,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,3,9.0,"[""4"", ""4-7"", ""4-7-1""]",6.0,6.0,,True,True,True,4,4-7-1,3,0,0,0,"[[""4""], [""4"", ""4-7""], [""4"", ""4-7"", ""4-7-1""]]",Science,Animals
32,TP,5,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",9,11.0,"[""5"", ""5-4"", ""5-4-0""]",6.0,6.0,,True,True,True,5,5-4-0,3,0,0,0,"[[""5""], [""5"", ""5-4""], [""5"", ""5-4"", ""5-4-0""]]",Society,Health issues
34,TP,6,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,7,18.0,"[""1"", ""1-2"", ""1-2-1""]",6.0,6.0,,False,False,True,1,1-2-1,3,0,0,0,"[[""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-1""]]",Entertainment,Reviews
35,TP,6,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",6,82.0,"[""2"", ""2"", ""1"", ""1-2"", ""1-2-0""]",6.0,6.0,"I'd hope this section would also show me where my closest cinema is, or some type of store locator option maybe.",False,False,False,2,1-2-0,5,1,1,1,"[[""2""], [], [""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-0""]]",Hobbies,Upcoming releases
36,TP,6,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,3,40.0,"[""6"", ""2"", ""2-2"", ""2-2-3""]",7.0,7.0,,False,False,False,6,2-2-3,4,1,1,1,"[[""6""], [""2""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-3""]]",Lifestyle,Recipes
37,TP,6,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,5,29.0,"[""6"", ""6-1"", ""5"", ""5-4"", ""5-4"", ""5-5"", ""5-5-0""]",7.0,7.0,,True,False,False,6,5-5-0,7,2,2,2,"[[""6""], [""6"", ""6-1""], [""5""], [""5"", ""5-4""], [""5""], [""5"", ""5-5""], [""5"", ""5-5"", ""5-5-0""]]",Lifestyle,Parenting
38,TP,6,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,2,20.0,"[""1"", ""1"", ""0"", ""0"", ""0"", ""0"", ""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]",7.0,7.0,,True,False,False,1,2-1-1-8,10,3,3,3,"[[""1""], [], [""0""], [], [""0""], [], [""2""], [""2"", ""2-1""], [""2"", ""2-1"", ""2-1-1""], [""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]]",Entertainment,Boxing
39,TP,6,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,10,58.0,"[""5"", ""5"", ""6"", ""2"", ""2-3"", ""2-3-3""]",7.0,7.0,,False,False,False,5,2-3-3,6,2,2,2,"[[""5""], [], [""6""], [""2""], [""2"", ""2-3""], [""2"", ""2-3"", ""2-3-3""]]",Society,Clothes
40,TP,6,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",9,94.0,"[""3"", ""3-4"", ""3-4-1""]",5.0,5.0,,True,True,True,3,3-4-1,3,0,0,0,"[[""3""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-1""]]",Culture,Medieval
41,TP,6,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",1,102.0,"[""2"", ""2-4"", ""2"", ""3"", ""4"", ""5"", ""6"", ""0"", ""0-0"", ""0-0"", ""0-1"", ""0-0"", ""0-2"", ""1"", ""1-4"", ""2"", ""2-4"", ""2-4-2"", ""2-4-2"", ""4"", ""4-7"", ""4-7"", ""4"", ""6"", ""6"", ""1"", ""1-3"", ""1-4"", ""1-4-1""]",1.0,1.0,"I couldn't find any specific place where it mentioned technology or laptops specifically, or at least in terms of recommendations, maybe I missed it but I felt as though I had looked properly through the options available.",False,False,False,2,1-4-1,29,16,13,17,"[[""2""], [""2"", ""2-4""], [], [""3""], [""4""], [""5""], [""6""], [""0""], [""0"", ""0-0""], [""0""], [""0"", ""0-1""], [""0"", ""0-0""], [""0"", ""0-2""], [""1""], [""1"", ""1-4""], [""2""], [""2"", ""2-4""], [""2"", ""2-4"", ""2-4-2""], [""2"", ""2-4""], [""4""], [""4"", ""4-7""], [""4""], [], [""6""], [], [""1""], [""1"", ""1-3""], [""1"", ""1-4""], [""1"", ""1-4"", ""1-4-1""]]",Hobbies,Computer games
42,TP,6,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,8,17.0,"[""4"", ""4-7"", ""4-7-1""]",5.0,6.0,,True,True,True,4,4-7-1,3,0,0,0,"[[""4""], [""4"", ""4-7""], [""4"", ""4-7"", ""4-7-1""]]",Science,Animals
43,TP,6,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",4,20.0,"[""4"", ""4-0"", ""4-0-0""]",6.0,6.0,,False,False,True,4,4-0-0,3,0,0,0,"[[""4""], [""4"", ""4-0""], [""4"", ""4-0"", ""4-0-0""]]",Science,Treatments
45,TP,7,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,4,21.0,"[""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]",7.0,7.0,,True,True,True,1,1-2-2-6,4,0,0,0,"[[""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-2""], [""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]]",Entertainment,Comedy
46,TP,7,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",3,25.0,"[""1"", ""1-2"", ""1-2-0""]",6.0,7.0,,False,False,True,1,1-2-0,3,0,0,0,"[[""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-0""]]",Entertainment,Upcoming releases
47,TP,7,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,9,11.0,"[""2"", ""2-2"", ""2-2-4""]",5.0,6.0,,False,False,True,2,2-2-4,3,0,0,0,"[[""2""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-4""]]",Hobbies,Cooking
48,TP,7,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,6,37.0,"[""6"", ""6-1"", ""6-1"", ""6-0"", ""6-0"", ""6-2"", ""6-2"", ""6"", ""5"", ""5-5"", ""5-5-0""]",6.0,7.0,,True,False,False,6,5-5-0,11,4,3,4,"[[""6""], [""6"", ""6-1""], [""6""], [""6"", ""6-0""], [""6""], [""6"", ""6-2""], [""6""], [], [""5""], [""5"", ""5-5""], [""5"", ""5-5"", ""5-5-0""]]",Lifestyle,Parenting
49,TP,7,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,10,32.0,"[""1"", ""1-3"", ""1-3-0"", ""1-3-0"", ""1-3"", ""1"", ""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]",6.0,7.0,,True,False,False,1,2-1-1-8,10,3,1,3,"[[""1""], [""1"", ""1-3""], [""1"", ""1-3"", ""1-3-0""], [""1"", ""1-3""], [""1""], [], [""2""], [""2"", ""2-1""], [""2"", ""2-1"", ""2-1-1""], [""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]]",Entertainment,Boxing
50,TP,7,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,2,30.0,"[""3"", ""3-2"", ""3-2-7""]",5.0,7.0,,False,False,True,3,3-2-7,3,0,0,0,"[[""3""], [""3"", ""3-2""], [""3"", ""3-2"", ""3-2-7""]]",Culture,Sustainable fashion
51,TP,7,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",8,34.0,"[""6"", ""6"", ""3"", ""3-4"", ""3-4-1"", ""3-4-1"", ""3-4-0"", ""3-4-0"", ""3-4-1""]",4.0,6.0,,True,False,False,6,3-4-1,9,3,3,3,"[[""6""], [], [""3""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-1""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-0""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-1""]]",Lifestyle,Medieval
52,TP,7,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",5,95.25583333333334,"[""2"", ""2"", ""1"", ""1"", ""6"", ""6"", ""5"", ""5"", ""3"", ""3"", ""1"", ""1-4"", ""1-4-1"", ""1-4-1"", ""1-4"", ""1"", ""7"", ""7"", ""4"", ""4-4"", ""4-4-2""]",4.0,6.0,,True,False,False,2,4-4-2,21,9,7,9,"[[""2""], [], [""1""], [], [""6""], [], [""5""], [], [""3""], [], [""1""], [""1"", ""1-4""], [""1"", ""1-4"", ""1-4-1""], [""1"", ""1-4""], [""1""], [], [""7""], [], [""4""], [""4"", ""4-4""], [""4"", ""4-4"", ""4-4-2""]]",Hobbies,Computers and internet
53,TP,7,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,1,45.0,"[""3"", ""3"", ""4"", ""4-5"", ""4-5"", ""4-6"", ""4-6"", ""4-7"", ""4-7-1""]",6.0,7.0,,True,False,False,3,4-7-1,9,3,3,3,"[[""3""], [], [""4""], [""4"", ""4-5""], [""4""], [""4"", ""4-6""], [""4""], [""4"", ""4-7""], [""4"", ""4-7"", ""4-7-1""]]",Culture,Animals
54,TP,7,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",7,40.0,"[""6"", ""6-2"", ""6-2"", ""6"", ""4"", ""4-0"", ""4-0-2""]",4.0,5.0,,False,False,False,6,4-0-2,7,2,1,2,"[[""6""], [""6"", ""6-2""], [""6""], [], [""4""], [""4"", ""4-0""], [""4"", ""4-0"", ""4-0-2""]]",Lifestyle,Research
56,TP,10,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,8,19.0,"[""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]",7.0,5.0,,True,True,True,1,1-2-2-6,4,0,0,0,"[[""1""], [""1"", ""1-2""], [""1"", ""1-2"", ""1-2-2""], [""1"", ""1-2"", ""1-2-2"", ""1-2-2-6""]]",Entertainment,Comedy
57,TP,10,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",2,23.0,"[""2"", ""2"", ""1"", ""1-2"", ""1-2"", ""1-5"", ""1-5-1""]",6.0,4.0,wasn't sure if it would be under hobbies and then it was confusing with a separate section for films and cinemas,True,False,False,2,1-5-1,7,2,2,2,"[[""2""], [], [""1""], [""1"", ""1-2""], [""1""], [""1"", ""1-5""], [""1"", ""1-5"", ""1-5-1""]]",Hobbies,Cinemas near you
58,TP,10,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,1,23.0,"[""6"", ""3"", ""2"", ""2-2"", ""2-2-3""]",7.0,2.0,"very difficult to know what category it would be under, I tried lifestyle and culture before hobbies",False,False,False,6,2-2-3,5,2,2,2,"[[""6""], [""3""], [""2""], [""2"", ""2-2""], [""2"", ""2-2"", ""2-2-3""]]",Lifestyle,Recipes
59,TP,10,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,3,17.0,"[""6"", ""6"", ""5"", ""5-5"", ""5-5-0""]",7.0,3.0,looked at lifestyle first as I would have thought it would be under there more than society ,True,False,False,6,5-5-0,5,1,1,1,"[[""6""], [], [""5""], [""5"", ""5-5""], [""5"", ""5-5"", ""5-5-0""]]",Lifestyle,Parenting
60,TP,10,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,4,25.0,"[""1"", ""1"", ""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]",7.0,2.0,"I think this should be under entertainment rather than sports because it is a form of entertainment to watch this and bet, whereas sports in the category hobbies would be sports that you take part in for me personally",True,False,False,1,2-1-1-8,6,1,1,1,"[[""1""], [], [""2""], [""2"", ""2-1""], [""2"", ""2-1"", ""2-1-1""], [""2"", ""2-1"", ""2-1-1"", ""2-1-1-8""]]",Entertainment,Boxing
61,TP,10,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,6,16.0,"[""2"", ""2-3"", ""2-3-3""]",6.0,4.0,I would have presumed it would be under a fashion category rather than clothes as that sounds more fitting for up to date clothing. ,False,False,True,2,2-3-3,3,0,0,0,"[[""2""], [""2"", ""2-3""], [""2"", ""2-3"", ""2-3-3""]]",Hobbies,Clothes
62,TP,10,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",5,33.0,"[""3"", ""3-4"", ""3-4-3"", ""3-4-2"", ""3-4-3"", ""3-4-2""]",1.0,3.0,I wouldn't know what category of history middle ages would fall under. I guessed but I don't think it was right ,False,False,False,3,3-4-2,6,3,3,3,"[[""3""], [""3"", ""3-4""], [""3"", ""3-4"", ""3-4-3""], [""3"", ""3-4"", ""3-4-2""], [""3"", ""3-4"", ""3-4-3""], [""3"", ""3-4"", ""3-4-2""]]",Culture,Modern
63,TP,10,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",7,38.0,"[""1"", ""1"", ""2"", ""2"", ""4"", ""4-4"", ""4-4-2""]",4.0,1.0,"This has been the hardest one so far. I don't think that should be under science at all. Similar to fashion, I think they should be under a similar heading with latest products to buy all together. Being under science indicates more learning about computers rather than purchasing one",True,False,False,1,4-4-2,7,2,2,2,"[[""1""], [], [""2""], [], [""4""], [""4"", ""4-4""], [""4"", ""4-4"", ""4-4-2""]]",Entertainment,Computers and internet
64,TP,10,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,10,15.0,"[""4"", ""4-5"", ""4-7"", ""4-7-1""]",7.0,6.0,,True,False,False,4,4-7-1,4,1,1,1,"[[""4""], [""4"", ""4-5""], [""4"", ""4-7""], [""4"", ""4-7"", ""4-7-1""]]",Science,Animals
