respondent number,task number,task text,result,time spent (seconds),path,first click,destination
5,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,26,Entertainment > Cinema > Cinemas near you > Blockbuster movies > Cinemas near you,Entertainment,Cinemas near you
5,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,24,Culture > Culture > Hobbies > Food > Regional cuisine > Regional cuisine > Recipes,Culture,Recipes
5,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,19,Lifestyle > Lifestyle > Lifestyle > Lifestyle > About us > About us > Society > Family and Relationships > Parenting,Lifestyle,Parenting
5,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,direct success,19,Hobbies > Sports > Individual sports > Boxing,Hobbies,Boxing
5,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,31,Hobbies > Hobbies > Entertainment > Entertainment > Lifestyle > Lifestyle > Society > Society > Trending > Trending > Entertainment > Entertainment > Hobbies > Beauty > Clothes,Hobbies,Clothes
5,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,26,Culture > Culture > Hobbies > Hobbies > Culture > History > Medieval,Culture,Medieval
5,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,15,Entertainment > Entertainment > Science > Technology > Computers and internet,Entertainment,Computers and internet
5,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,15,Science > Nature > Animals,Science,Animals
6,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,12,Science > Health and Medicine > Research,Science,Research
6,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,12,Trending > Popular articles,Trending,Popular articles
6,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,indirect success,17,Hobbies > Hobbies > Entertainment > Films > Genres > Comedy,Hobbies,Comedy
6,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,23,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
6,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect success,15,Hobbies > Food > Cooking > Regional cuisine > Mexican cuisine,Hobbies,Mexican cuisine
6,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,44,Lifestyle > Personal development > Personal development < Lifestyle > Culture > Culture > Lifestyle > Personal development > Personal development < Lifestyle > Culture > Culture > Entertainment > Entertainment > Hobbies > Hobbies > Lifestyle > Lifestyle > Society > Family and Relationships > Parenting,Lifestyle,Parenting
6,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,52,Entertainment > Entertainment > Lifestyle > Lifestyle > Lifestyle > Lifestyle > Culture > Culture > Trending > Trending > Society > Society > Lifestyle > Lifestyle > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
6,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,122,Hobbies > Beauty > Clothes,Hobbies,Clothes
6,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,15,Culture > History > Medieval,Culture,Medieval
6,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,41,Lifestyle > Lifestyle > Trending > Trending > Entertainment > Entertainment > Hobbies > Hobbies > Culture > Culture > Science > Technology > Computers and internet,Lifestyle,Computers and internet
6,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct failure,11,Science > Biology > Zoology,Science,Zoology
8,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,56,Science > Health and Medicine > Research,Science,Research
8,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,46,Trending > Popular articles,Trending,Popular articles
8,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,19,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
8,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,55,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
8,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,109,Society > Society > Culture > Culture > Hobbies > Food > Recipes,Society,Recipes
8,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,47,Society > Family and Relationships > Parenting,Society,Parenting
8,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,29,Entertainment > TV shows > TV shows < Entertainment > Trending > Trending > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
8,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,14,Hobbies > Beauty > Clothes,Hobbies,Clothes
8,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct failure,70,Culture > History > Ancient,Culture,Ancient
8,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,138,Entertainment > Entertainment > Hobbies > Hobbies > Science > Technology > Computers and internet,Entertainment,Computers and internet
8,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect success,88,Science > Earth and Space > Earth and Space > Nature > Animals,Science,Animals
9,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,16,Science > Health and Medicine > Research,Science,Research
9,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,12,Trending > Popular articles,Trending,Popular articles
9,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,18,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
9,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,16,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
9,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct failure,9,Hobbies > Food > Recipes,Hobbies,Recipes
9,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,26,Lifestyle > Personal development > Self-growth < Personal development < Lifestyle > Society > Family and Relationships > Parenting,Lifestyle,Parenting
9,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,direct success,13,Hobbies > Sports > Individual sports > Boxing,Hobbies,Boxing
9,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,13,Hobbies > Beauty > Clothes,Hobbies,Clothes
9,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect failure,25,Science > Science > Culture > History > Ancient,Science,Ancient
9,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,107,Hobbies > Hobbies > Lifestyle > Lifestyle > Entertainment > Entertainment > Hobbies > Household > Household < Hobbies > Entertainment > Games > Games < Entertainment > Culture > Culture > Society > Society > Trending > Trending > Entertainment > Entertainment > Hobbies > Hobbies > Lifestyle > Personal development > Personal development > Finances > Finances < Lifestyle > About us > About us > Lifestyle > Lifestyle > Society > Education > E-learning,Hobbies,E-learning
9,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,13,Science > Nature > Animals,Science,Animals
10,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,18,Science > Health and Medicine > Treatments,Science,Treatments
10,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,12,Trending > Popular articles,Trending,Popular articles
10,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,15,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
10,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,23,Entertainment > Films > Films > Cinema > Cinemas near you,Entertainment,Cinemas near you
10,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,105,Culture > Culture > Hobbies > Food > Recipes > Regional cuisine > Regional cuisine > Recipes,Culture,Recipes
10,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,11,Society > Family and Relationships > Parenting,Society,Parenting
10,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,56,Entertainment > Entertainment > Culture > Culture > Society > Society > Trending > Trending > Entertainment > Games > Top picks,Entertainment,Top picks
10,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,direct failure,20,Hobbies > Beauty > Clothes,Hobbies,Clothes
10,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,20,Culture > History > Medieval,Culture,Medieval
10,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,85,Entertainment > Entertainment > Culture > Culture > Hobbies > Household > Household < Hobbies > Society > Society > Lifestyle > Personal development > Personal development < Lifestyle > Science > Technology > Computers and internet,Entertainment,Computers and internet
10,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,15,Science > Nature > Animals,Science,Animals
11,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,14,Science > Health and Medicine > Research,Science,Research
11,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,10,Trending > Popular articles,Trending,Popular articles
11,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,16,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
11,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct success,19,Entertainment > Cinema > Cinemas near you,Entertainment,Cinemas near you
11,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,direct success,25,Hobbies > Food > Regional cuisine > Mexican cuisine,Hobbies,Mexican cuisine
11,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,25,Lifestyle > Personal development > Personal development < Lifestyle > Society > Family and Relationships > Parenting,Lifestyle,Parenting
11,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,37,Entertainment > Entertainment > Culture > Culture > Hobbies > Sports > Individual sports > Boxing,Entertainment,Boxing
11,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,33,Lifestyle > Lifestyle > Hobbies > Hobbies > Trending > Trending > Culture > Fashion > Latest trends,Lifestyle,Latest trends
11,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,13,Culture > History > Medieval,Culture,Medieval
11,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,45,Entertainment > Entertainment > Lifestyle > Lifestyle > Culture > Culture > Hobbies > Hobbies > Science > Technology > Computers and internet,Entertainment,Computers and internet
11,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,34,Hobbies > Outdoors > Outdoors > Garden > Garden < Hobbies > Science > Biology > Zoology,Hobbies,Zoology
12,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect failure,50,Science > Health and Medicine > Health and Medicine < Science > Society > Society > Culture > Culture > Science > Health and Medicine > Treatments,Science,Treatments
12,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,17,Trending > Popular articles,Trending,Popular articles
12,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,13,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
12,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect failure,60,Culture > Culture > Society > Society > Entertainment > Literature > Literature > Films > Genres > Genres > Trailers,Culture,Trailers
12,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,34,Lifestyle > Lifestyle > Lifestyle > Personal development > Personal development < Lifestyle > Society > Society > Culture > Culture > Hobbies > Food > Recipes,Lifestyle,Recipes
12,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,14,Lifestyle > Lifestyle > Society > Family and Relationships > Parenting,Lifestyle,Parenting
12,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,68,Entertainment > Entertainment > Culture > Culture > Entertainment > Entertainment > Trending > Trending > Lifestyle > Lifestyle > Society > Society > About us > About us > Trending > Trending > Entertainment > Entertainment > Culture > Culture > Lifestyle > Lifestyle > Society > Society > Trending > Latest articles,Entertainment,Latest articles
12,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,31,Lifestyle > Lifestyle > Society > Society > Culture > Fashion > New collections,Lifestyle,New collections
12,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct success,21.186,Culture > History > Medieval,Culture,Medieval
12,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,79,Lifestyle > Lifestyle > Society > Society > Hobbies > Household > Household < Hobbies > Entertainment > Entertainment > Culture > Art > Art < Culture > Trending > Latest articles < Trending > Science > Technology > Computers and internet,Lifestyle,Computers and internet
12,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,direct success,19,Science > Nature > Animals,Science,Animals
13,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",indirect success,20,Lifestyle > Lifestyle > Society > Health > Health issues,Lifestyle,Health issues
13,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,indirect success,14,Trending > Latest articles > Popular articles,Trending,Popular articles
13,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,14,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
13,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",indirect success,27,Entertainment > Films > Films > Cinema > Cinemas near you,Entertainment,Cinemas near you
13,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect failure,24.103,Lifestyle > Lifestyle > Hobbies > Food > Cooking,Lifestyle,Cooking
13,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,indirect success,22,Lifestyle > Personal development > Personal development < Lifestyle > Society > Family and Relationships > Parenting,Lifestyle,Parenting
13,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect failure,31,Trending > Trending > Entertainment > TV shows > TV shows < Entertainment > Society > Society > Lifestyle > Lifestyle > Trending > Latest articles,Trending,Latest articles
13,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect failure,27,Trending > Our picks < Trending > Society > Society > Lifestyle > Lifestyle > Culture > Fashion > Latest trends,Trending,Latest trends
13,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",direct failure,19,Culture > History > World,Culture,World
13,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect failure,59,Society > Society > Entertainment > Literature > Literature < Entertainment > Hobbies > Hobbies > Lifestyle > Personal development > Personal development < Lifestyle > Society > Society > Entertainment > Entertainment > Trending > Our picks,Society,Our picks
13,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect success,52,Culture > Culture > Society > Society > About us > About us > Hobbies > Outdoors > Outdoors < Hobbies > Hobbies > Hobbies > Science > Nature > Animals,Culture,Animals
14,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,17,Science > Health and Medicine > Research,Science,Research
14,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,18,Trending > Popular articles,Trending,Popular articles
14,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,34,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
14,3,"Planning a movie date, you want to check out what movies are currently playing in movie theaters. The movie theater should not be further than a thirty-minute drive from your current location. Where would you look for relevant information?",direct failure,29,Entertainment > Films > Upcoming releases,Entertainment,Upcoming releases
14,5,You are in the mood to try making a spicy mesoamerican dish. Where would you look for recipe ideas?,indirect success,49,Lifestyle > Lifestyle > Society > Society > Entertainment > Entertainment > Hobbies > Food > Regional cuisine > Mexican cuisine,Lifestyle,Mexican cuisine
14,11,Imagine you are soon about to become a mom or a dad for the first time. Where would you look for advice on how to raise and take care of a child?,direct success,49,Society > Family and Relationships > Parenting,Society,Parenting
14,4,You have bet on a boxing match and would like to see the results. Where would you look for them?,indirect success,42,Culture > Culture > Society > Society > Lifestyle > Lifestyle > Hobbies > Sports > Individual sports > Boxing,Culture,Boxing
14,6,You'd like to update your wardrobe with some fresh articles to wear this season. Where would you look for inspiration?,indirect success,51,Lifestyle > Lifestyle > Society > Society > Culture > Fashion > New collections,Lifestyle,New collections
14,7,"You would like to educate yourself a bit, and one topic that interests you is how life used to be back during the middle ages. Where would you look for articles about this?",indirect success,61,Society > Society > Culture > History > Medieval,Society,Medieval
14,8,"Your old laptop is out of commission, so you are interested in buying a new one. Where would you look for pointers on what brand and model may be the best for you?",indirect success,67,Lifestyle > Finances > Finances < Lifestyle > Society > Society > Science > Science > Hobbies > Hobbies > Science > Technology > Gadgets > Mobile phones > Computers and internet,Lifestyle,Computers and internet
14,9,You would like to learn about bird species–such as how they migrate or care for their young. Where would you look for articles like this?,indirect failure,143,Hobbies > Garden > Garden > Outdoors > Outdoors < Hobbies > Culture > Culture > Society > Society > Lifestyle > Lifestyle > Trending > Trending > Entertainment > Entertainment > Hobbies > Household > Garden < Household > Household > Household > Garden > Garden > Outdoors > Outdoors > Art > Art > Crafts > Crafts < Hobbies > Science > Science > Hobbies > Garden > Garden > Outdoors > Outdoors > Household > Garden,Hobbies,Garden
15,10,"Your health is important to you, so you like to keep abreast of the latest information about various illnesses, their symptoms and how best to avoid them. Where would you look for such information?",direct failure,25,Lifestyle > Personal development > Self-care,Lifestyle,Self-care
15,1,<div>You would like to find articles that a lot of people are reading right now. Where would you look for them?<br /></div>,direct success,19,Trending > Popular articles,Trending,Popular articles
15,2,You are having friends over for a movie night and you would like to watch something with a lot of jokes. Where would you look for the right movie recommendation?,direct success,18,Entertainment > Films > Genres > Comedy,Entertainment,Comedy
