respondent,T1Q1: I felt sure about my answer.,T1Q2: It was easy to complete this task.,T1Q3: Is there any further information you would like to add about this task? (original),T1Q3: Is there any further information you would like to add about this task? (grouped),T2Q1: I felt sure about my answer.,T2Q2: It was easy to complete this task.,T2Q3: Is there any further information you would like to add about this task? (original),T2Q3: Is there any further information you would like to add about this task? (grouped),T3Q1: I felt sure about my answer.,T3Q2: It was easy to complete this task.,T3Q3: Is there any further information you would like to add about this task? (original),T3Q3: Is there any further information you would like to add about this task? (grouped),T4Q1: I felt sure about my answer.,T4Q2: It was easy to complete this task.,T4Q3: Is there any further information you would like to add about this task? (original),T4Q3: Is there any further information you would like to add about this task? (grouped),T5Q1: I felt sure about my answer.,T5Q2: It was easy to complete this task.,T5Q3: Is there any further information you would like to add about this task? (original),T5Q3: Is there any further information you would like to add about this task? (grouped),T6Q1: I felt sure about my answer.,T6Q2: It was easy to complete this task.,T6Q3: Is there any further information you would like to add about this task? (original),T6Q3: Is there any further information you would like to add about this task? (grouped),T7Q1: I felt sure about my answer.,T7Q2: It was easy to complete this task.,T7Q3: Is there any further information you would like to add about this task? (original),T7Q3: Is there any further information you would like to add about this task? (grouped),T8Q1: I felt sure about my answer.,T8Q2: It was easy to complete this task.,T8Q3: Is there any further information you would like to add about this task? (original),T8Q3: Is there any further information you would like to add about this task? (grouped),T9Q1: I felt sure about my answer.,T9Q2: It was easy to complete this task.,T9Q3: Is there any further information you would like to add about this task? (original),T9Q3: Is there any further information you would like to add about this task? (grouped),T10Q1: I felt sure about my answer.,T10Q2: It was easy to complete this task.,T10Q3: Is there any further information you would like to add about this task? (original),T10Q3: Is there any further information you would like to add about this task? (grouped),T11Q1: I felt sure about my answer.,T11Q2: It was easy to complete this task.,T11Q3: Is there any further information you would like to add about this task? (original),T11Q3: Is there any further information you would like to add about this task? (grouped)
19,4,4,,,4,4,,,5,5,,,4,4,,,4,4,,,4,4,,,4,4,,,4,5,,,4,4,,,4,4,,,5,6,,
21,7,4,,,7,7,,,7,7,,,5,5,,,7,5,,,6,7,,,5,7,,,7,1,,,7,7,,,6,7,,,7,7,,
22,6,6,no,no,7,7,no,no,7,7,no,no,6,6,no,no,7,7,no,no,6,6,no,no,6,6,no,no,6,7,no,no,5,7,no,no,6,6,no,no,7,7,no,no
24,7,7,No.,No.,7,7,,,4,5,,,6,5,,,4,6,,,6,5,No.,No.,6,5,,,5,1,,,5,3,,,2,2,,,7,7,,
25,7,7,,,7,7,,,7,5,,,7,7,,,6,7,I don't know what mesoamerican was so I assumed it was mexican,I don't know what mesoamerican was so I assumed it was mexican,6,6,,,7,7,,,5,5,,,6,6,,,5,6,,,7,6,,
26,7,7,,,6,6,,,5,5,,,6,5,,,6,6,,,6,6,,,4,4,,,4,4,,,2,2,,,5,5,,,6,6,,
29,6,7,,,7,7,,,7,7,,,6,6,,,7,7,,,6,6,,,5,5,,,2,3,,,5,6,,,4,5,,,7,7,,
30,5,6,,,7,7,,,6,6,,,7,7,,,6,7,,,6,6,,,5,6,,,1,3,,,7,5,,,6,6,,,7,7,,
32,7,7,none,none,7,7,none,none,7,7,none,none,7,7,none,none,7,7,none,none,7,7,none,none,4,4,none,none,5,6,none,none,7,6,none,none,3,4,none,none,7,7,none,none
36,7,6,,,6,6,,,5,5,,,7,4,,,7,7,,,7,7,,,7,7,,,5,6,,,5,6,,,6,6,,,3,3,,
38,6,7,,,7,7,,,6,7,,,6,6,,,6,6,,,5,5,,,4,4,,,2,3,,,5,5,,,3,4,,,1,1,,
39,7,7,,,6,6,,,6,5,,,6,7,,,6,6,,,5,5,,,7,7,,,5,3,,,5,4,,,5,4,,,6,7,,
40,6,6,,,6,6,,,6,5,"First thought was films, but then saw the cinema category","First thought was films, but then saw the cinema category",6,5,Had to look through a couple of menus before I found the one regarding sports,Had to look through a couple of menus before I found the one regarding sports,5,5,,,3,4,Was a little unsure whether the correct section would be new collections or trends,Was a little unsure whether the correct section would be new collections or trends,6,5,,,6,5,,,5,4,There were a number of categories it could have fallen under and needed to check a few before I found the right section,There were a number of categories it could have fallen under and needed to check a few before I found the right section,4,5,A little unsure as to whether it would fall under the category for treatments or research,A little unsure as to whether it would fall under the category for treatments or research,6,5,Had to check a couple of menus before I found the correct section,Had to check a couple of menus before I found the correct section
41,7,1,"I found the section on most read articles easily but did not pick an article to read, I was trying to highlight or indicate the whole section.","I found the section on most read articles easily but did not pick an article to read, I was trying to highlight or indicate the whole section.",7,6,,,7,5,,,6,6,,,5,4,,,7,5,,,7,5,,,5,5,,,4,3,,,4,4,,,7,6,,
42,7,7,"No, this was easy.","No, this was easy.",7,7,I found this really easily.,I found this really easily.,5,6,I think this option will give me the opportunity to locate cinemas according to my preference.,I think this option will give me the opportunity to locate cinemas according to my preference.,7,7,Easy to locate.,Easy to locate.,6,6,I went to the recipes section and presumably would see what I need to there.,I went to the recipes section and presumably would see what I need to there.,6,6,No problems with this one.,No problems with this one.,5,6,Not sure whether to select 'ancient' or 'medieval' for this one but the pages were in the same place.,Not sure whether to select 'ancient' or 'medieval' for this one but the pages were in the same place.,5,3,It was hard to find this particular category - seemed very tucked away.,It was hard to find this particular category - seemed very tucked away.,5,6,Had to look around for this a little but think I ended up in the right place.,Had to look around for this a little but think I ended up in the right place.,7,7,This was easy to find.,This was easy to find.,7,7,This was easy to find.,This was easy to find.
44,6,6,,,6,6,,,6,6,,,6,5,,,6,5,,,6,5,,,6,5,,,6,6,,,4,3,,,2,2,,,6,5,,
46,5,5,,,7,7,,,7,3,,,7,7,,,4,6,I don't know if meso american is a breakfast,I don't know if meso american is a breakfast,6,7,,,7,7,,,2,2,,,6,3,,,5,5,,,7,7,,
47,7,7,I did not have any issues with the task,I did not have any issues with the task,7,7,,,7,7,,,7,7,I had no issues with the study,I had no issues with the study,7,7,,,7,7,I had no issues with the study,I had no issues with the study,7,7,,,7,7,,,7,7,,,7,7,I had no issues with the study,I had no issues with the study,7,7,,
48,6,6,no,no,6,7,,,7,7,no,no,7,7,,,7,5,,,7,5,wouldnt really expect this to be in the culture tab,wouldnt really expect this to be in the culture tab,7,7,no,no,6,6,,,6,5,"the text colour needs to darker as it was the second time i went into this category that i noticed it, i missed it the first time i went into it","the text colour needs to darker as it was the second time i went into this category that i noticed it, i missed it the first time i went into it",7,7,no,no,7,5,,
49,6,6,none,none,7,7,,,7,7,,,7,7,,,6,6,,,6,7,,,7,7,,,7,7,,,7,7,,,7,6,,,7,6,no,no
